"comicName","comicSummary","comicGrade"
"디드롭스(D.drops)","당신이 꿈꾸는 잔혹동화","9.88"
"블러드라이트","에피소드 판타지","9.53"
"한지붕아래","다섯 바보의 이야기","9.91"
"몬스터즈필드","소녀들의 미식축구!","8.97"
"호구와싸가지","마지막 공지","9.89"
"스코칭로맨스","화끈한 개그 로맨스","9.86"
"신","인간이 되어버린 신","9.69"
"#살인스타그램","SNS연쇄살인","9.69"
"러브라이터","러브코미디","9.87"
"에리스","남을 속여야 이긴다","9.37"
"신의태궁","태궁과 도깨비","9.92"
"그녀의버킷리스트","죽기위해 이뤄가는","9.87"
"그남자그남자의사정","보통만화.","9.82"
"게으른고양이의soso한카페이야기","카페운영일상툰","9.84"
"드라코런::Dracorun","드래곤 라이더","9.80"
"공감각자","5.5감 스릴러","9.73"
"용사·마왕·우주인","낙제 용사 이야기","9.90"
"도시소녀귀농기","백수가족 단체귀농!","9.80"
"인절미","인기많은 절미씨","9.85"
"그림자가길어지는시간","25살,여대생","9.86"
"밤의새벽","인육매매마을 소녀","9.84"
"데칼코마니","추적스릴러웹툰","9.65"
"수채화다이어리","수채화로 전해드리는 공감 일상 툰 입니다:)","9.61"
"신별주부전","새로운 토끼와 자라","9.90"
"꿈의왕의꿈","꿈의 왕이 누구야?","9.86"
"애니메이킹","애니메이션 만들기","9.61"
"악마법소녀","마법과 내뱉은 말","9.90"
"고3목마회전인생","고3 타임루프","9.84"
"은근짜릿해","이럴때 은근히 짜릿","9.84"
"학살던전마","학교에서 살아남기","7.66"
"사랑을,너에게","사랑 받고 싶어","9.91"
"거미덫","거미줄에 걸려버렸다","9.82"
"봉봉미엘홍차클럽","홍차와 함께하는 일상 메르헨","9.91"
"미로의정원","판타지","9.93"
"PI(파이)","주라의 신화 이야기","9.75"
"저승찾아한서리","장기휴재","9.81"
"갓!김치","두유 노우 김치맨?","9.22"
"왕지태고교5인방!","5인방 시트콤","9.72"
"진주전","도깨비 판타지","9.87"
"데르탈리즘","원시인이 ★아이돌☆","9.57"
"문카니발","달과 밤 이중생활","9.56"
"나를위한봄","방송부 친구들","8.49"
"플랫다이어리","길고 말 많은 일상툰","9.90"
"같이살아요!","결혼할수 있을까","9.92"
"철수이야기","함께여서 난 좋았어","9.91"
"여왕의자격","로맨스포츠","9.50"
"언메이크","에어 아포칼립스","9.25"
"어나더","판타지 로맨스","9.86"
"블러드문","비극이 낳은 희망","9.74"
"폐급공무원","신종 폐급 공무원","9.53"
"아홉수우리들","우리들 이야기","9.91"
"붉게물들홍","조선 춤꾼들 이야기","9.90"
"블캣다이어리","쇼핑몰!밴드!고양이 강아지 엄마! 테이의 소소한 일상툰!","9.73"
"삼십오미리(35mm)","자신의 시선을 찾아가는 이호경과 사진 동아리 ‘삼십오미리’ 이야기","9.85"
"여전히일상","평범하지만 늘 다른","9.88"
"동거의법칙","반세기세대차이룸메이트","9.88"
"좋은꿈꾸세요","스트레스 처치로맨스","9.92"
"콜맨","병맛흥신소","9.33"
"나비이야기","식물이 무서워","9.89"
"태양","new 클래식 웹툰","9.62"
"지크프리트","전쟁 판타지","9.88"
"개남","한명쯤 키우고 싶은","9.91"
"부고","부고訃告죽음 그 이면","9.85"
"러비스LUVIS","넌 너대로 빛나!","9.80"
"다이아몬드갓수","액션/어드벤처","9.68"
"순진한로웰씨","회사로망 일상툰★","9.86"
"유치원신드롬","공포의 유치원","9.59"
"러보얌♥","러보얌+행복한크리미","9.76"
"저승화랑이야기","이승과 같은 저승","9.91"
"나주금입니다","유령의 상냥한 위로","9.89"
"메멘토모리","죽음을 기억하라!","9.92"
"크라이시스","이능력 판타지","9.79"
"히어로전우치","한국형 히어로!!","9.61"
"14년만에핀해바라기","K-POP","9.71"
"그라티아","엑소시스트 판타지","9.55"
"50m","오십미터","9.51"
"이름을빌려드립니다","我的名字","9.76"
"지나치게달콤한","알바생과 아이돌의 지나치게 달콤한 이야기","9.89"
"브리즈","고교야구 성장스토리","8.82"
"쩜오라이프","1.5평 생활기","9.87"
"이상적인관계","심쿵! 캠퍼스로맨스","9.89"
"아재소녀","시즌2 !!","9.71"
"나의스위치메이트","여자가 된 남자","9.90"
"남자들이나를좋아해","내인생의 모든인연","9.72"
"아무래도좋은","아무래도 좋은이야기","9.90"
"개천사","어느 날 화가 났다..","9.90"
"가라사대","기독교타파?개그만화","9.65"
"꿀벌과아카시아","달콤녀 꿀벌남 찾기","9.78"
"샤카!","주짓수 성장 만화","9.04"
"레퀴에스","이세계식당 개그물","9.23"
"강한사랑","대학교 개그 로맨스","9.88"
"나라구한전생","나라를 구했습니다.","9.90"
"보통의외톨이","다다 DADA","9.89"
"종이비행기를날리면","첫사랑을 다시 만나러","9.83"
"극세사탐구생활","일상탐구개그만화","9.85"
"사랑비","누구나 하나쯤은 간직하고 있는 러브스토리에 관하여","9.15"
"짝사랑기승전결","평범한 짝사랑이야기","9.80"
"스피너즈",".","9.58"
"GO!라니","(연재중지)","9.88"
"봉황의원","철없는 주작 성장기","9.53"
"쿨내나는연애","쏘쿨한 로맨스 웹툰","9.89"
"바리이야기","판타지","9.88"
"필","필의 이야기.","9.86"
"파도의색깔","판타지 성장 만화","9.89"
"(구)신의태궁",".","9.86"
"익숙한땅콩들","소소한 청춘","9.84"
"색깔전쟁","색이 사라진 세상","9.83"
"디센트","동양판타지 학원물","9.85"
"마야","첩보 스릴러","9.69"
"빅맨","208cm거인의농구","5.78"
"이상한사무실","디자인 회사 이야기","9.75"
"우리!지구를떠나자!","지구미남 납치작전","9.68"
"덕후커플보고서","덕후 커플의 일상","9.88"
"엘리자벳데일리","매일매일, 아슬아슬 with 엘리자베스","9.81"
"HelloDeath![헬로데스]","세상엔신들이너무많아","9.83"
"절교여행","절교여행 버라이어티","9.82"
"박하의효능","비밀을 알아버렸다","9.69"
"일상난담","수욜 일욜 연재","9.27"
"투하프데빌","악마들의 코믹한 이야기","9.54"
"두세기","두세기 사이의 진실","9.75"
"성형술사","만지면 변한다!!","9.82"
"마루누리","고구려 왕자의 성장기","9.88"
"보라(LookAtMe)","학원 잔혹극","9.24"
"사물놀이-부서진악기-","한국형 판타지스릴러","9.91"
"지구와사람과동물","지구와 사람과 동물","9.88"
"용사님을사랑한힐러님","잔잔한 판타지","9.88"
"검은인간","변해가는 몸","9.90"
"모자장수아가씨","모자장수 아가씨","9.75"
"산타공무원","강동구씨의 이야기","9.91"
"환상여행","단편 모음집","9.90"
"퍼머넌트옐로우","27살, 동화는없다","9.32"
"컬러커플:extra","컬러커플 외전!","9.83"
"제임스널저주해그리고사랑해","감성로맨스스릴러","9.66"
"신의계약서","이세계 신의 이야기","9.62"
"날마다끄적끄적","고요히 산다는 것","9.88"
"Tillythespikyhands","뾰족뾰족 포크가족","9.88"
"다르디움","기계와 마법의 세계","9.87"
"공상과학스포대전","스포츠만화의 이단아","9.40"
"청부업자와소년의이야기","청부업자와 소년의 잔잔하고 슬픈 이야기","9.88"
"로동심문","탈북민 용철씨의 좌충우돌 남한 정착기!","9.87"
"보람특기고등학교",".","9.88"
"미친꽃은답도없다","자유연재","9.83"
"당신의한순간","#심리#영혼#힐링","9.82"
"저주라는이름의축복","← 키안 (♂)","9.86"
"어쩌다보니용사가","용사가 허접 쩌리?","9.62"
"최강의악마","될 수 있을까?","9.88"
"옴니버스열애설","연시뮬을 만화로!","9.85"
"슬로우템포","본격 심령 로맨스","9.74"
"죽는날까지","가장 나쁜 영웅","9.89"
"현악4중주-콰르텟","어떤악기의 레이져포","9.56"
"허니버니",".","9.90"
"방과후베이스볼클럽","드라마틱 베이스볼","9.69"
"디바이스","게임 폐인이 게임을 통해 성장하는 이야기","9.84"
"긴생머리","과거와 갈등..연애","9.59"
"메리고라운드","개그 육아 일상","9.90"
"어쩌다간호사","간호사 공감툰.","9.76"
"호가비","소녀와 호가비","9.85"
"라서드","모험 액션 판타지","9.77"
"멜팅포인트","","9.81"
"사분의일","잇걸과패션테러리스트","9.87"
"사람사이","청춘들의 현실로맨스","9.47"
"재와먼지의시","어떤 장의사 이야기","9.81"
"헬58","지옥같은섬 58아일랜드 (속칭 헬58)","9.52"
"얘보단일잘하겠지의'얘'","사회생활 꺼져","9.78"
"이몸은신이니라!","카이즈","9.61"
"킥오프","열혈 풋살 웹툰","9.73"
"오!덕후를위하여","덕심충만, 취향존중!","9.89"
"그가내가되었다","도플갱어","9.73"
"언니","언니만화(완결)","9.89"
"지옥의주인","귀신의 싸움.","9.25"
"나,주태희","임신을 원하지 않아","9.68"
"슬프게도이게내인생","사회초년생의 일상툰","9.85"
"낮게날고있는연","토요일 연재중","9.57"
"아무것도모르지만","매주 토요일 연재","9.80"
"다이어트는내일부터","사랑을 위해 남자가 다이어트 하는 만화","9.69"
"개구리공주","학원판타지","9.89"
"쓰레기마일리지","매주 수요일밤 연재","9.65"
"겨울과봄사이","극과 극인 그들사이","9.87"
"살인마들","살인마들이 만났다.","9.89"
"프로짝사랑러","감성로맨스인척","9.59"
"이시미이야기","이무기이야기","9.58"
"야수와줄리엣","드라마로맨스판타지","9.89"
"빌리다이어트","개고생 다이어트","9.82"
"어둠이내게오면","어둑서니와 소녀이야기","9.87"
"정스스토리","정스의 제주 이야기","9.40"
"망령왕이","보스 몹 육성기","9.52"
"양푼비빔밥","남들과 비슷한 일상툰","9.79"
"소녀연대기","중3소녀 학교성장물","9.71"
"고스트월드","2% 어설픈 고스트들이 모여사는 고스트월드!","9.59"
"구남친톡","구남친과 로맨스","9.86"
"스트리트킹","일상농구만화입니다","6.53"
"카리스마","신의 축복 카리스마","9.90"
"모롱하게!뜨개하게!","전국민 뜨개인 양성 프로젝트!","9.03"
"소녀와동박새","소동을 피우다.","9.84"
"등교하는근식이","목숨을 건 개근일기","9.89"
"막역지우","삼총사","9.81"
"한글을그리다.","한글로 그리는 그림","9.84"
"아내가임신했다","결혼출산장려만화","9.88"
"수호령","문을 지키는 영혼들","9.90"
"너를그리다","우리들의 사랑이야기","9.65"
"연고남","연애 고자 탈출기","9.67"
"마틴:그림그리는기사","중세풍 판타지드라마","9.91"
"박하이야기","눈이보이지않는 소년","9.90"
"적절한교환일기","약간 이상한 여행","9.85"
"게이트","게이트","9.76"
"백설:잔혹동화","백합 로맨스","9.87"
"큐레이터","유물 관리단","9.73"
"빌런즈","빌런들 이야기","9.89"
"공룡러버즈","장거리 국제연애","9.56"
"내마음하늘하늘","모쏠남의 짝사랑","9.68"
"B.O.B(bestofthebest)","3x3농구최강도전기","7.97"
"하늘의가녘","괴물과 싸우는 인간","9.89"
"헬로도사","도사와 미아망자","9.84"
"캔버스","청춘 로맨스","9.84"
"나는토끼를키운다.","토끼 키우는 만화","9.88"
"뱀파이어수난시대","뱀파이어 수난시대","9.75"
"AIR","붉은눈을 조심해.","9.89"
"양배추숲","자연감성 시골만화","9.90"
"피곤한직장인일기","하루 두 컷 일기","9.90"
"엑스프렌즈","이별 사연 에피소드","9.87"
"연애못하는여자","연애 못하는 여자들","9.82"
"심야알바","만화가의 맥주집 알바 이야기","9.85"
"미합중국생존실태보고서","미국 생존 버라이어티 일상툰","9.82"
"신들을부탁해!","구슬로 인생치기","9.80"
"WINGS","날개를 가진 자들","9.81"
"하루끝에","20대","9.77"
"유사소년소녀","내가 유사능력자?!","9.88"
"클릭금지","클릭금지","9.76"
"오늘도무사히","간호사가 들려주는 수술실 이야기","9.87"
"HometoHome","보건소방문간호사일기","9.86"
"데빌런","쩌리파티 도전기","9.76"
"성지순례왔습니다","트라우마 극복기","9.75"
"하루의천사","천사의 인간실습 생활기","9.87"
"로베스의완전감각","감정을 찾는 모험.","9.88"
"오늘할래?","학교 E스포츠부","8.51"
"그남자의네일공간","후니가 알려주는 네일레시피","9.74"
"오늘은비","완결 끝!","9.91"
"알바가아니야!","본격 레스토랑 만화","8.38"
"이차원의테라리움","영혼을 받았다","9.53"
"이길수있어","청춘 농구만화.","9.46"
"나는사람입니다.","좀비생존만화","9.87"
"Alone","[스릴러]","9.80"
"마킹!!","스트리트 바스켓볼","9.24"
"바보요정웽","바보요정Wooeng","9.89"
"우리들만의싸이커","프리스타일축구만화","7.83"
"바사무엘","판타지 드라마","9.89"
"시크릿가족","성교육웹툰!!","9.88"
"서유기","손오공 이야기","9.85"
"아빠랑춤출래?","담백육아만화!","9.87"
"제카y제카툰","젴스러운 일상툰","9.81"
"뎐스러워","늘 배고픈 청년 뎐","9.52"
"벚꽃과불꽃","다른 세계?","9.88"
"굿바이나의가디언","그들의 일상생활 판타지","9.64"
"대란(大亂)-1부갖춘자와갖추지않은자","1592년 임진년 음력 4월 13일. 건국 200년 만에 위기에 처한 조선을 2017년에","9.84"
"4월,벚꽃우리들","벚꽃 흩날리던 4월의 어느 날, 우리들의 이야기","9.89"
"할짝심리학","심리학 겉핥기","9.90"
"향기를입다","남자의 변신은 무죄","9.34"
"뚜바비앙","뚜바비앙","9.90"
"인삼류","인삼류","9.47"
"U.S.P.O.","이능력자들 사는 이야기","9.49"
"마고령","판타지 무협활극.","9.85"
"배럴","본격 다트웹툰","9.50"
"혼밥,혼술,혼자사는이야기","혼밥, 혼술, 혼자 사는 이야기","9.90"
"새을비전","깨어나세요, 도사여!","9.86"
"검은선","17살 선이의 나날","9.86"
"미래의너에게","미래를 보는 소녀의 로맨스","9.89"
"내여동생은귀여워","사이좋은 남매의 일상 이야기.","7.17"
"옹","아니 그게 아니라","8.87"
"봉순이일기","봉순의 평범한 일상","9.84"
"홍할홍할","★개그 힐링툰★","9.86"
"흑묘","검은 고양이 사냥꾼","9.73"
"초월!집사소녀!!","액션배틀집사성장만화","9.54"
"오리씨와이글군","오리 아빠와 독수리 아들의 일상","9.85"
"미즈라태양의성","쫄깃탄탄 환상서사극","9.91"
"내남친은이세계를구한용사님!?","용사여친의 대학생활","9.86"
"채소담","채지니의 일상툰","9.71"
"쁘아쁘(PeuAPeu)","조금씩","9.87"
"나의작업실","웹툰작가가 꿈인 도민우(25) 그가 카페에서 하루종일 그림을 그리면서 생기는 일상 러브코미디","9.85"
"따뜻한나의코코","우리들을 위한 이야기","9.90"
"단짠남녀","굶지 말고 사랑하기","9.89"
"데일리프랑스","프랑스 일기","9.90"
"마키시의이웃들","와장창","9.86"
"토끼","토끼야 안녕.","9.74"
"주간도시기담","공포개그만화","9.38"
"저승탈출넘버원","환생 안 합니다.","9.25"
"초식고등학교","초식동물 학교에 곰이 전학 온다면?","9.88"
"비너스","SF 대모험 활극","9.28"
"극한고딩","하드코어 스쿨라이프","9.89"
"королева(퀸)","액션,느와르","9.82"
"루나샵에어서오세요!","마법용품가게 루나샵","9.89"
"묘(猫)하게이끌리는","고양이 저승 판타지","9.80"
"그앨리스에게판타지란없다","이상한 동화 판타지","9.89"
"아케미아아카데미","연금술사,학원물","9.90"
"그악나천","순정만화의 정석","9.52"
"가족같은회사","완결","9.86"
"신선마트중간계지점","얼렁뚱땅 세상나기","9.89"
"점핑오버","찌질하지 않아","9.70"
"고양이툰","적당히 꽃 같은 만화","8.69"
"체크메이트더게임","지상과지하,인간체스","9.56"
"우리들의트로이메라이","리메이크 본 백업","9.89"
"DOLL","인형술사, 재봉사, 마녀.","9.90"
"마음과마법의반비례","마법학교 적응하기","9.87"
"24","원본, 도플갱어","9.36"
"오리의호수","성장기 장편 드라마","9.39"
"나오의결계","일상 판타지","9.73"
"열일곱","업뎃","9.57"
"히어로키-악의돼지삼형제ReMake","악당, 히어로 되다","9.59"
"사가","영웅들의 이야기","9.62"
"Pleasekissme,Princess","엘라와루이스의 모험","9.90"
"더블랙LABEL","여성느와르","9.90"
"나도예쁘고싶다","예뻐지고 싶다.","9.79"
"잘부탁해,얘들아","일상,개그물","9.90"
"참새는새신부!","폭신달콤한 로맨스","9.80"
"호곡","조선의 왕 천군이 사라지고 3년 뒤... 한 소녀가 나타나다","9.14"
"사도신여랑傳","사도 신여랑전은 격주 토요일제 입니다","9.59"
"세피아","#스파이 #액션 #능력물","9.86"
"마고","동화의 재구성.","9.89"
"최초의다정","은하계 의료 판타지","9.82"
"너도날좋아해줬으면","사랑의 잔향","9.88"
"니친구김저키","김저키의 험난한일상","9.72"
"누나가돌아왔다!","농촌 로맨스","9.77"
"파리에서살아남기","파리 일상툰","9.83"
"어쩌다여고","여고 → 남녀공학","9.79"
"이매무당전","강한 힘을 가진 인간과 힘을 잃은 도깨비의 힐링드라마","9.90"
"신세기단편동화","감성 스토리","9.89"
"이계리턴즈","이계리턴즈","9.85"
"요조신사마초숙녀","힐링로맨스목요일연재","9.75"
"도시남녀제주라이프","도시커플 제주이주툰","9.67"
"잘가,좋은아침이야","소녀 돌아오다.","9.87"
"미친악마","선녀와 악마 환생!","9.84"
"개를낳았다~만남부터이별까지~","나는 개를 낳은 개엄마입니다.","9.89"
"피그말리온","Pygmalion","9.88"
"너는내게","청춘 로맨스","9.89"
"새는시간을난다","환상을 보는 남자","9.89"
"인더섀도우","그림자 이동 초능력","9.89"
"지천명단편집","어서오세요.","9.75"
"인수니즘코믹스","세번째 삶","9.79"
"마도","중세 판타지","9.74"
"저주인형","판타지 일상 로맨스","9.89"
"숨은연애찾기","어디있니, 내사랑!","9.74"
"너에게까지시속100km","사랑에도 속도가 있다면 너에게까지 달려가는 내 속도는 100km야!","9.85"
"회색문:괴담","괴담 만화","9.83"
"차원의소녀","저주의12가지이름","9.89"
"니플헤임","지하,지상의 이야기","9.86"
"애니멀다이어리","소심녀학생 성장로맨스","9.71"
"공략개시!!","현실공략게임","9.88"
"일기장","짝사랑","9.88"
"오늘도냥냥냥♪","컴백냥♪","9.87"
"달콤포근베이커리","맛있는 로맨스","9.82"
"드리머즈","드림워커들의 이야기","9.00"
"호랑이와해님달님","<해님달님> 제2장","9.88"
"네가내천사라고?!","천사 맞아?","9.87"
"동물의왕국","주인공의 파트너찾기","9.80"
"컬러풀","너의 감정이 보여","9.83"
"선수들","대한민국 선수들의 이야기","9.65"
"페이퍼","능력은 완성되어 가는것","9.81"
"502호의묘책","냥이와일인족이야기","9.89"
"가비도령","가비와 도령의 모험","9.67"
"100%의연인","보통의 연애","9.89"
"꾼대꾼","천상꾼이 되려는 꾼","9.85"
"날개있는천사천씨청년","천사를 만나다","9.88"
"송곳니가족","소설툰 (읽는만화)","9.38"
"컬러리스트","연극동아리","9.85"
"뷰티풀맨","한 남자의 인생","9.79"
"상냥한녀석들","캠퍼스 로맨스","9.79"
"괴신","모두 , 괴신이었다","9.87"
"CafeOK","어떤 카페의 주인장, 명랑한 고양이 비비와 과묵한 매력을 지닌 늑대씨가 풀어가는 일상 이야기","9.88"
"저승길잡이","이승과 저승의 경계","9.90"
"희망사항","소녀의 일기장","9.86"
"그리고아무일도없었다.","그녀석과 만난 이야기 학원개그로맨스","9.83"
"스펙터즈","근미래 이능력팀배틀","9.90"
"SaveMe","자존심싸움","9.86"
"그냥엄청난판타지","뻔하지 않은 개그 판타지","9.83"
"보급형콤플렉스","보급형 내 인생","9.90"
"신라의달밤","솔직하고 당찬 신라 소녀 김만월!","9.89"
"우주인미밍일기","귀염터지는힐링물♡","9.90"
"용사를찾아서","용사를 찾아서","9.37"
"회장님","회장님의 첫사랑♥【시트콤같은 4컷개그】","9.61"
"카페레","십년치 일기","9.85"
"오늘부터다이어트","오늘부터 다이어트","9.87"
"쿨쿨상담","쿨하지 않은 연애담","9.86"
"내안에깃든너","최강의 귀신. 인간에게 깃들다.","9.90"
"너인듯네가아닌","SF 순정만화","9.89"
"이상의세상","이상한 놈들의 동거","9.16"
"풍월주","스릴러","9.84"
"AnimalToday(애니멀투데이)","그냥 동물 개그만화","8.94"
"안녕,호두","호두의 소소한 일상툰!","9.90"
"러블리러브","사랑에 빠진 것을 아무에게도 말하지 않는","9.60"
"5kg을위하여","5kg을 위하여!","9.89"
"우리남매의일상은","남매들의 화려한 일상.","9.88"
"이웃집성녀님!","세계를 구한 용사와 성녀! 특별한 그들의 별볼일 없는 이야기!","9.54"
"가담가담","학원암살물","9.89"
"긁지않은복권","날씬 복권","9.89"
"잃어버린시간을드립니다","시간을 모으는 남자들 ::: 금요일연재","9.86"
"긁적긁적","가려울 때도, 겸연쩍을 때도, 심심할 때도 긁적긁적.","9.43"
"그래도행성은돈다","자전이랑 공전한다","9.27"
"윙","도사가 되어라! 모험 판타지","9.59"
"신화의나라","신화를 잇는 이야기","9.78"
"오늘의양송","양과 송 부부의 즐거운 나날들","9.81"
"계약우정","삼포세대 비긴즈","9.87"
"인어의연못","인어를 만나는 남자","9.90"
"PANDEMIC","모두의 이야기","9.83"
"재건!마왕성","파괴된 마왕성을 재건하라!","9.87"
"INCURSION-나락의도시","[본격좀비건축만화]","9.76"
"하늘에핀동백꽃","변화와 변화의 이야기.","9.88"
"개포트","동물병원 이야기","9.88"
"별▶주부전","현대판 별주부전이 시작된다!","9.86"
"낭랑18세","남자가 꼬인다?","9.86"
"뚱뚱이탈출기","닭살순정만화","9.76"
"너를위해","조금 특별한 사랑이야기.","9.89"
"식스틴",".","9.87"
"이제오냥?","순살 크런키 치킨과 가족들의 이야기","9.84"
"생각하는정이","일상을 그려나가요","9.86"
"AngryRanger","○● AR","9.87"
"다시만나요","현실이 된 너","9.26"
"싱글리틀파파다이어리","대학생 육아일기","9.88"
"동물마누라","내 아내는 동물입니다.","9.77"
"연애를못하는남자","승우의 연애 성공기","9.85"
"무슨일이에요?","whats going on?","9.77"
"철없는수의대생의일상","공부 언제 하냐!!","9.89"
"한참연하","..","9.65"
"여름밤에문을두드린산타","사람이 된 고양이와 개","9.88"
"뱀프브라더스","뱀파이어와 인간사이","9.88"
"AMOR","뱀파이어","9.73"
"행복을입혀드립니다","행복을 만드는 옷쟁이","9.90"
"옆집에신이산다","로맨스 판타지","9.72"
"달란트","장애인의 초능력..","9.90"
"고교생을환불해주세요","누가 내 인생 환불 좀!","9.90"
"오늘과내일의경계","괴물 몽마와의 사투","9.89"
"자살방지위원회","자살을 원하는 사람들 이야기","9.90"
"그를좋아한다",".","9.86"
"커먼라이더스","로드사이클을 타는 평범한 사람들의 이야기","9.71"
"룽과크리스","자칭 중세배경의 의사와싸이코의 이야기.","9.87"
"안녕도깨비","우리 마을에 도깨비가 산다?","9.87"
"꿈조각꿈","꿈조각꿈","9.88"
"나루아씨전","동양판타지","9.86"
"꼬리","-","9.68"
"뱀블러프","- 씨가 말라간다.","9.75"
"남조선일기","똑같으면서도 완전히 다른 한반도, 윗동네 친구들의 남조선 표류기","9.73"
"Mega디저트4총사","모든 것은 디저트로 연결되나요?","9.65"
"우린NPC다","NPC들의  개그판타지","9.68"
"소온치이야기","소온치 이야기","9.66"
"FREEKICK","청춘 프리킥!","9.79"
"피플","액션 스릴러...","9.84"
"등선(登仙)","도사에서 신선되기","9.50"
"MY0호팬(마이영호팬)","아이돌 순정","9.86"
"친해져요금봉씨","시골마을에 괴물이?","9.84"
"요리GO",".","9.86"
"향기방기연애일기","엉뚱발랄 연애일기","9.70"
"학용품대전","학용품 배틀물","9.75"
"천상의전령사","죽음을 통보하는 편지를 배달하는 이야기","9.49"
"바스티아대륙이야기-마왕의대륙-","리얼중세판타지","9.42"
"노미를잡아라","의문의 소녀 노미","9.63"
"무한의팔라무트","왕들의 이야기","9.80"
"크림슨크로스","스타더스트","7.94"
"멋지다고해줘!","남자시점 순정만화","9.49"
"루벤스와푸생","악연이라 생각하는 남자와 인연이라 생각하는 여자의 지독한 현실 속 사랑이야기.","9.27"
"너를들을수있는","조금 특별한 동거","9.83"
"뜨뜨미지근한","일상의 차갑거나 따뜻한 이야기","9.86"
"대디보이","열혈 본격 학원 육아물","9.73"
"나비리본","죽기 전의 스토리","9.78"
"도깨비하우스","수상한 하숙집","9.83"
"그녀의첫사랑","그녀, 첫사랑과 재회하다","9.50"
"기타등등의연애","신데렐라가 아닌 평범한 우리의 연애 이야기.","9.69"
"꿀렁한하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"가출천사육성계약","Beyond HELL","9.90"
"뱀파이어친구","뱀파이어인 친구와 뱀파이어의 친구","9.88"
"링거","저승사자가 된 소년","9.73"
"봄에꽃한송이","한송이의 성장이야기","9.90"
"더리턴","새로운 만화","9.80"
"주경야dog","낮에는 일하고 밤에는 우리 집 강아지를 탐구합니다.","9.85"
"업사이클다이어리","버리면 애물단지 손대면 나만의 예술작품","9.71"
"방백남녀","남녀의 우정","9.30"
"백조의호수","은둔형 외톨이 백수 로맨스만화.","9.80"
"브리스크펄데이즈","당신과 함께 걷고 싶었던 그 화창한 가을의 나날. 그 모든 시간을 추억하며...","9.02"
"마녀는그렇게죽었다","우리가 모르던 마녀의 이야기","9.83"
"여대생차오름의천사","히키코모리 여대생 ""차오름"", 그녀의 눈 앞에 ""미야""라는 꼬마 천사가 태어난다.","9.89"
"카인의표적","악마의 표식을 얻은 자들의 싸움","9.85"
"춘향전설","조선시대 학원액션물","9.74"
"아이엠헝그리","마법소녀 이야기","9.79"
"여대생의정석","평범한 일상","9.87"
"홍차리브레","홍차영의 서툴지만 설레이는 하루","9.89"
"벨벳모멘트","역사성 판타지액션","9.32"
"도깨비를키우는방법","도둑과 도깨비","9.83"
"괴괴괴괴괴","괴기한 이야기들","9.79"
