"comicName","comicSummary","comicGrade"
"협주곡","감성 스릴러","9.89"
"오늘뭐해먹지?","음식을 통해 인생을 들여다 보다.","9.85"
"도니월드","카툰초보 아저씨의 좌충우돌 일상기","8.21"
"1인용기분","오늘, 우리의 기분","9.88"
"획","역동(力動)","9.86"
"검은소","요괴 마을","9.84"
"멋져!김치가이","푸드맨들의 등장!","9.89"
"고양이별,지구별","집사 공감 일상툰","9.79"
"이세계용사랑마왕뭐그런거알잖아?","안 흔한 이세계물","9.88"
"옥상난간에엄지발가락","게으른 청춘의 일상이야기","9.73"
"WaNDerer","그들","9.87"
"일요극장","아마도 일상 판타지","9.65"
"12HOURmonster","-괴물이  있었다.","9.84"
"난다고시원","가로 1.5m x 세로 2.2m 1평도 안 되는 고시원방  그 안에서 벌어지는 좌충우돌 코믹감동 드라마!","8.96"
"주먹꾹","고양고양한 이 친구들을 만나보세요","9.90"
"드래곤레이디","저의이름을 말해주세요.","9.72"
"AI폰아리랑","AI폰 아리랑","9.89"
"평범한(?)지구인들","일상툰","9.75"
"볼트(VOLT)","SF 액션 판타지","9.74"
"지오코소가난뱅이","음악성장만화.","9.89"
"비공식공동체","각각 다른 개성을 가진 그들의 모임 비공식 공동체 !","8.90"
"어글리후드","내가 외계인이니까","9.90"
"노곤하개","아주 노곤노곤하 개","9.88"
"내낡은서랍속의일기장","글/그림 - 정향준","9.87"
"홍시는날좋아해!","안녕하세요, 홍시예요!","9.89"
"힘을내요노모파워","나이든 엄마의 육아일기","9.87"
"상그미상","일상툰!","9.88"
"푸므로달려와","아빠와 딸","8.88"
"달기알","달걀 닮아서 달기알.","9.88"
"이별일기","사랑의 끝은","9.80"
"소녀가여행하는법","여행장려웹툰","9.86"
"곤충전","판타지","9.87"
"북극곰자리","한 컷 동물 우화","9.72"
"슈넨베리아","쌍둥이 이야기","9.87"
"적막소녀","령을 보는 소녀","9.86"
"좀비인간","국내에 퍼진 좀비 바이러스, 그 실체는?!","9.81"
"아기낳는만화","쉽지만은 않았던 임신 이야기","9.88"
"지옥으로부터의나날들","커플지옥","9.41"
"크리스마스이브캔킬유","크리스마스날 저는 하루종일 코만 풀었습니다.","9.70"
"옆집여대생","순정웹툰","9.81"
"사랑의모양","동물귀 좋아요","9.53"
"빅보이","거대해진 소년의 이야기","9.88"
"종말의왕국","모든 것을 잃은 남자 ‘제임스’ 의 생존기","9.58"
"사냥꾼과최형사","현대판 현상금사냥꾼","9.58"
"꾸숑의폭식니즘","배고프진 않은데, 그냥 먹어~ 이런 분들.. 모두 손!!!","9.73"
"짝사랑","그땐 미처 몰랐지","9.37"
"바람에남긴기억","마법의 세계","9.84"
"HAVEANICEDAY","일상을 그린 이야기","9.78"
"송양게스트하우스","양 아가씨","9.75"
"론즈(Lons)",".","9.82"
"한라지강","이중소녀","9.89"
"이왕이면감사","네컷만화","9.76"
"해결사","해결사를 하는 소년소녀의 일상물","9.88"
"사춘기소녀커플즈","커플즈","9.81"
"사이어미즈","어새신 느와르","9.75"
"10월28일","같은 하루가 반복된다.","9.89"
"나를깨우러온","꿈으로 사라져버린 사람들, 그들을 되찾아오는 사람들","9.90"
"엘카림이들어줄게!","무쇠와 강철이 두부 가르듯 썰리는 SF+판타지 액션.","9.69"
"3분의1","엄마의 암투병과 바라보는 가족들의 속마음","9.87"
"던전의주인님","기다려왔던 이세계 환생! 쪼렙이라고 깔보지 마라, 인생은 실전이다!","9.88"
"외인","유령이 보이는 여고생과 흡혈귀의 일상","8.57"
"달콤쌉쌀,민트","첫사랑은 치약맛?","9.88"
"그대곁으로,","+그대 곁으로,+","8.41"
"LSD","게임개발팀이야기","9.86"
"오늘,뭐했어?","일상 에피소드","9.70"
"좀비와함께밥을!","배가고프다","9.89"
"겨울에웃는꽃","연기 만화 (feat. 천재/먼치킨)","9.86"
"나나의교환학생이야기","터키로 떠난 나나!","9.88"
"엘프하프","엘프 에루의 이야기","9.85"
"BO고또'보'고","보토끼의소소한일상","9.03"
"서른되면뭐달라질줄아냐?","서른 넘어도 달라지는 거 하나도 없다.","9.86"
"로어스쿨","액션 소년만화","9.89"
"중고팔레트","수상한 가게 이상한 물건","9.84"
"반짝반짝왕자님","반짝반짝 빛나는 왕자님과 독특한 친구들의 고교생활 이야기","9.89"
"버블티","세 여대생들의 달콤하고 쫄깃쫄깃한 이야기 들어보실래요?","9.79"
"내가황제를만났을때","손발이 사라지는 마법","9.68"
"SAURUS","공룡 드라마","9.76"
"언데드의사김해골","던전의 몬스터의사 김해골","9.90"
"옥탑빵","미용실 2층 옥탑빵 이야기","9.90"
"스페셜게스트","순정시대","9.82"
"봄비","학창시절 첫사랑","9.76"
"컴벳필드","컴벳 필드에서의  서바이벌 게임","9.63"
"티안","모험 액션 판타지","9.86"
"옥탑방갑남을녀","동거는 어려워","9.87"
"상상클럽","우리들의 상상이야기","9.86"
"사적인거리","사적인 애들","9.86"
"돌아와리즈!","리즈시절로 되돌리기!","9.77"
"나이베디야","소녀의 성장 판타지","9.85"
"우리집","성장 드라마","9.72"
"마음을훔치는여자","사람의 마음을 훔칠 수 있다면?","9.73"
"스프토랑","그냥 스프집이야기","9.77"
"오늘,응","꿈꾸는 프리랜서 응의 소소한 오늘.(자유연재)","9.77"
"돌팔이작명소","이름 지어드립니다","9.56"
"골란기-시발섬의식인종들-","[판타지] 천상 대전쟁","9.79"
"궁디팡팡토로토로","고양이 일상툰","9.28"
"너란꽃을피워줘","순정 판타지","9.80"
"검의계승자","7개의 검과 그 검들이 존재하는 이유","9.88"
"그대첫사랑","내 친구의 남자친구","9.87"
"LOVEFIVE!","체육과에서 펼쳐지는 좌충우돌 러브스토리","8.90"
"매구인게어때서?!","판타지 러브코미디","9.84"
"오늘도버섯전골","버섯인간들에 인간같은 일상 이야기","9.52"
"내손잡아줄사람","리메이크","9.83"
"걸어서30분","매주 금요일 귀갓길 30분 동안의 학원 로맨스","9.90"
"오타쿠의일상","오타쿠의일상","9.73"
"무쇠","삐뚤어진 <갑조선>아 기다려라. 무쇠가 간다.","9.78"
"바람을실은메아리","세상을 속인 스캔들","9.52"
"암흑도시","개그하는 조폭.","8.89"
"청춘고딩","이러쿵저러쿵","9.68"
"우리오빠는아이돌!","덕계못이라고?!","9.84"
"후크","후크의 혁명기","9.87"
"식물생활","초록초록한 일상 만나기","9.80"
"루턴-paststory-","10년간의 혁명 이야기.","9.85"
"그래일기","그래이야기","9.87"
"잘지내나요?","잘지내나요?","9.80"
"흔하지않은로맨스유형","청춘남녀 4컷만화","9.91"
"그림그리기좋은날","만화같은 로맨스","9.89"
"바퀴!","에나멜, 링크, 쉐퍼드","9.57"
"은해갑을깝치","은해, 갑! 깝치, 을!","9.25"
"좋아하는부분","빠져드는 부분","9.87"
"붉은끈","귀신을 보는 두 남자 이야기","9.76"
"집사람","보통 집사람의 짧은 하루이야기","9.87"
"떠나가리","어디로든 떠나는 가리의 여행이야기!!","9.54"
"플라워","소년소녀들의 이야기.","9.67"
"간떨어지는동거","구미호와 동거하기","9.87"
"연필의각도","선생님과 제자","9.87"
"얀카툰","4컷 개그 판타지","8.85"
"원주민공포만화","공포, 기가 막힌반전","9.84"
"지울수있을까?","과거로 인한 트라우마, 반복되는 꿈. 과연 지울 수 있을까?","9.90"
"롼든girl","철없는 서울 촌녀자의 세상사는 이야기","9.58"
"애니멀팜!","반은 동물, 반은 인간.","9.87"
"어항속꽃밭","어항속 꽃밭","9.85"
"발렌타인데이","남자는 모르지만 여자가되면 알수있을지도?!","9.69"
"가드","쏘울봉","9.41"
"헌댁이되기전에","백수 부부와 길바닥 출신 고양이의 평범한(?) 일상툰","9.79"
"스쿱스","우주모험활극!","9.55"
"망상되감기","아이들은 성장한다.","9.91"
"고양이와집사","조금은 특별한 반려동물 이야기.","9.74"
"꾸까는엉망진창","꼬마마녀 의 일상","9.86"
"하아의하루","강아지 일상툰!","9.86"
"너를싫어하는방법","이것 참 난감한 짝사랑","9.90"
"주부1.5단","주부아닌 주부이야기","9.83"
"IDOLFAN","은둔형 외톨이인 성하는 KEZZ의 팬사인회에 가기 위해 집 밖으로 나오게 되는데..","9.56"
"그대라서","ich liebe dich","9.87"
"북극의밤","어느 한 천재 소녀 작가가 겪게되는 10개월 동안의 비밀 이야기","9.56"
"데드위크[DeadWeek]","미드풍 액션 좀비물","9.79"
"언원티드","찐따↔전세계 재벌1위","9.88"
"찬란하지않아도괜찮아","찬란해야 할 것 같은 청춘, 하지만","9.79"
"사이클","포스트 아포칼립스","9.88"
"닥터관찰일지","좀비와 동고동락","9.86"
"봉쥬르보리","봉쥬르","9.36"
"스타더스트","우주구조대!버텨라!!2년!!","8.88"
"별의아씨","-","9.61"
"왕과나","조선시대 학교생활","9.85"
"식욕로맨스","먹잇감 여주와 본격인간먹방?남주","9.88"
"우리집에놀러와!!","이상한 애들이다","9.85"
"불꽃에휘날리다","최초의 소방 극화","9.84"
"아라비안스위트","사막에서 벌어지는 순정 판타지","9.79"
"소시민","소심하고 잔망스러운 일상사","9.88"
"경계인","어둠에 속해있던 명준은 빛의 세상으로 들어갈 수 있을까.","9.59"
"달빛속에그대가","조용한 시골 마을. 알비노 소녀. 평범한듯 평범하지 못한 삶.","9.87"
"여우들","작은 도둑들이 세상을 부순다. 여우들이라 불리는 도둑들의 이야기...","9.48"
"페툰(PeopleandPeopleToon)","판타지 연애툰","9.77"
"아가씨와우렁총각","커리어우먼/살림남","9.88"
"푸른사막아아루","순정판타지","9.89"
"격이다른남자","그 남자의 이야기.","9.88"
"연애학","나에게 필승법이 있어","9.30"
"요괴백정","리메이크","9.85"
"진지한고교생!!","진지한 학생들의 학원 청춘 코미디","9.82"
"아무마을대잔치","아무 마을, 아무 생각, 아무 말","9.86"
"잊지말아요","초능력 판타지 드라마","9.86"
"아머나이트","수인 / 판타지 액션","9.79"
"30일후","미래를 알게 된 남자 자신의 운명에 맞서다.","9.73"
"매일참는남자","남자라면 참고 살아야 할 것들이 너무 많다.. 그 중 가장 힘든 건...","9.64"
"기묘한기담","오래된 주술과 금지된 것들에 대한 이야기...","9.87"
"과격자매단","자매들의 일상 캐기","9.89"
"끝과시작","맴찢남 세정의 이야기","9.89"
"달리다굼","빛을 지닌 소녀","9.85"
"호됴됴됴","반려견 개그일상툰","9.89"
"정글라이프","절망과 희망사이","9.84"
"바람도그릴수있다면","쿠바에서 사는 이야기","9.66"
"봉다리","동네농구 이야기","9.62"
"에이디","에이디","9.86"
"그루버","본격! RPG 만화!! 그루브를 아는 그루버들의 와일드한 어드벤쳐!!","9.15"
"초하루밤의달맞이꽃","할게요, 신.","9.79"
"무역의왕","목요 업데이트!!","7.38"
"내일","죽음을 막는 저승사자들","9.89"
"트위너","전국민 농구 대회","9.84"
"살인방귀","코믹 웹툰","9.69"
"가가와자반이","평범한 우리 가족","9.64"
"귀엽잖아","귀여운 만화","9.86"
"하엔","추리/판타지/SF","9.60"
"헤이노르딕","스물아홉, 북유럽 여행~","9.86"
"용사갑,마왕을","갑을 관계의 그들","9.88"
"그냥조금불편할뿐인데","장애인의 꿈과 사랑","9.88"
"쓰리스쿨즈","이 동네 실세는 누구?","9.90"
"스페로스페라","사신 판타지","9.88"
"행쇼","짝사랑","9.77"
"나른해별곰","나른한 이야기","8.81"
"천진난만알바인생","카페 알바 생활툰","9.90"
"페탈(쥬브나일스)","탄생 메르헨","9.85"
"매일,제일","도저히 어울릴 수 없는 우리가...?","9.90"
"뱀이앉은자리","정식연재공지","9.74"
"모드스톤살인사건","모드스톤 살인사건의 전말","9.69"
"사여자","5일 연재♡","9.83"
"중매결혼","중매로 결혼하(려)는 이야기","9.47"
"마왕이되는중2야","마왕이 되는 중2","9.88"
"나이트메어","상큼하게 무섭다!","9.84"
"헨젤","지옥을 거니는 천사.","9.61"
"꽃이피면우리는","이로와는 이로와!","9.87"
"혼자사는여자","혼자사는여자의일상","9.85"
"언더페인팅","로맨틱 성장 드라마","9.89"
"단역:아무개","단역이 주인공인 만화","9.83"
"정상이되고싶어","정상의 친구만들기","9.86"
"도시유사현세전","판타지는 없습니다.","9.34"
"검은새","검은새 - 퇴마 에피소드 (화요일 주간연재)","9.80"
"웅덩이","3웅3색 이야기","9.13"
"고고픽션","신세계","9.78"
"용사의딸","평범하게 살던 하나의 평범하지 않은 학교 적응기","9.77"
"하늘하늘하늘!","현실 로맨스 판타지!","9.76"
"연두툰","그 때가 그리우신 가요? 2000년대 초반 초등학생 연두의 공감되는 일상 (매주 금요일 연재)","9.72"
"이역","이역의 이야기.","9.86"
"내가안했어요","살인사건 추리극","9.83"
"GIMS","왜인지 장르가 많다","9.88"
"네모네모-indosi","네모네모","9.82"
"달콤쌉싸름해","순정단편옴니버스","9.88"
"출근했습니다","출근해서 퇴근까지","9.90"
"하나린하나린","환생세계 판타지!","9.88"
"귀전구담","귀신이 전하는 이야기","9.90"
"헝그리블러드","신세대 드라큘라 가족의 이야기","9.82"
"굥이의하루","굥이의 하루","9.66"
"피카앤부","피카와 부의 동화같은 일상 엿보기^^","9.84"
"포르고드(FORGOD)","푸른빛의 판타지 드라마","9.86"
"소년사이코","사이코소년인 사이코의 일상","9.62"
"도담도담","신비한 능력을 가진 가족의 이야기","9.88"
"해프닝","투믹스 연재중","9.85"
"카타스트로피","공지","9.73"
"날지못하는악마","날못악","9.89"
"검은피의도시","EP.D","9.86"
"이것도친구라고","파란만장한 청춘 라이프","9.88"
"화귀","사람들이 사라진다","9.86"
"쌍둥이부부일기","쌍둥이처럼 똑닮은 부부의 알콩달콩 개그일기","9.87"
"범인에대하여","아름답지 못할망정 질척이는 로맨스","9.87"
"지구를움직이는소년들","Boys Be Ambitious","9.80"
"RUN","영웅이 없는 세상... 스스로를 구원하기 위한 소년의 하드보일드 복수극!!","9.79"
"블루믹(BlueMIC)","연재분업데이트","9.88"
"갑자기판타지","판타지책속으로 들어가다","9.85"
"눈치없는내친구!","캠퍼스 이야기","9.84"
"요스토리/죽음.그물","오랜만이에요","9.72"
"눈꽃","나의 반려묘가 사람이라니","9.84"
"생산직툰","생산직 업무를 하면서 느낀 재미난 에피소드를 4컷 만화로 담았습니다.","9.85"
"뷰티풀싱글라이프","이 남자가 만족하고 사는법","9.89"
"숨비","동성애자, 몽상가, 가출 청소년","9.82"
"겨울밤","묘단과 아람의 이야기","9.85"
"나고야","밤 낮이 다른 여고생 작가의 은밀한 복수와 스릴넘치는 성장기","9.58"
"흐려지지만선명하게","인연에 관한 세가지 이야기","9.68"
"무쇠후라이팬","무쇠팬 쓰는 남자!!","9.90"
"반지하셋방","자매의 자취생활","9.89"
"로보택틱스","AOS 게임 판타지","9.78"
"털털하지만괜찮아!","조금 털털해도 난 좋아.","9.23"
"드리머","액션판타지","9.41"
"퇴마부","와플, 우냐","9.81"
"셀프피쉬","당신의 물고기는","9.87"
"인연입니까?","우리도 인연일까.","9.70"
"구세의블레이딩","소년과 소녀의 이야기","9.69"
"신의프시키온","운명에 맞서는 형제의 이야기.","9.84"
"느루느루하게","스펙타클 하루일기","9.79"
"구라디우스","판타지라이프","9.69"
"보스인스쿨","Boss In School","9.88"
"지구인입니다","외계인들 사이로 납치된 지구인","9.88"
"오늘도형제는평화롭다","돈독한 형제들","9.89"
"하이퍼(HYPER)","히어로 서바이벌 오디션","9.46"
"그림자가족","가족의 그림자가 되어 살아가는 사람들의 상처를 다룬 이야기","9.90"
"모아이스토리","모아이와 친구들의 일상이야기","9.86"
"김치걸x밀크티보이","한국여자+홍콩남자","9.86"
"스피크업히어로","판타지 액션 히어로.","9.55"
"페더","무릉도원 판타지","9.86"
"사신기","사신을 사랑한 인간","9.80"
"우리집에곰이이사왔다","마법의 숲,테바의 최정예 요원 곰토토! 국가의 명령으로 인간 세상으로 파견되었다. 털북숭이계의 에이스, 곰토토의 파란만장한 인간세상 개고생 라이프!","9.89"
"얼티미터","궁극에 선 자","9.90"
"위기의왕씨형제들","위왕이 돌아왔다!!","9.87"
"천사에게는날개가없다","인간이 되어 버린 천사와 영혼을 잃어버린 소녀","9.87"
"히어로망스","로망스작가의 모험","9.85"
"꿀밤","허니 나이트.","9.86"
"눈꽃의심장","장르 파괴 액션물","9.74"
"버기버그","곤충들의 마법소녀 버기!","9.86"
"하제","신의 아이와의 기담","9.87"
"랑앤마눌","부부의 에피소드","9.79"
"위아애니멀스","동물이 되어","9.87"
"아침식사됩니다","반요들의 일상이야기","9.88"
"본격연애이야기!","코믹 공감 연애물","9.74"
"금지클럽","금단의사랑","9.72"
"그녀는나를싫어해","하지만 나는 그녀를..","9.89"
"라인리스::Lineless","Lineless","9.85"
"유만즈","심장 없는 엑소시스트","9.85"
"뷰티어스인","오드아이(ODD EYE)","7.56"
"괭씨의나태한세상","겨털로 감정표현","9.63"
"기억들","기억을 읽는 남자와 기억을 숨기는 여자, 그리고 죽은 이들의 기억에 관한 이야기.","9.89"
"소년의신성","소년 무신을 만나다.","9.85"
"글라디우스프로젝트","헤레틱과 인간","9.88"
"투명매니큐어를바르는승무원","현직 승무원 로나의 사막비행일지","9.88"
"숙이네이야기","오독이들(다섯강아지), 빠다언니, 숙이가 함께 살며 겪어가는 즐거운 에피소드가 있는 곳","9.82"
"달콤한비밀연애","사내 연애를 하는 연인의 일상 툰","9.62"
"칼로리메트리","로맨스 스릴러","9.75"
"기생하는심장","감정과 관계에 관한 이야기들","9.86"
"다시","나는 너를 만났다 다시","9.87"
"너를잃는숲","숲에 들어가지 마렴, 소중한 걸 잃게 된단다."" 경고를 무시하고 들어선 숲에서 시엘은 의문의 소녀인 로사나를 만나게 되는데...","9.82"
"일코선생","""인생이 덕질에 방해가 된다"" - 완벽한 선생의 이중생활","9.88"
"마법사와꼬마","운명일까?","9.84"
"화이트데이","너흰 그냥 친구야!!","9.30"
"산타라떼(SantaLatte)","리메이크","9.86"
"메리의미쿡정복기","먼 타지땅에서 한국인의 끈기로 성공하는 메리","9.81"
"공감없는이야기","약간파랗의 공감없는이야기","9.00"
"이웃집의스토커군","훈남 스토커가 옆집에 산다.","9.63"
"페이트","수명을 보는 남자","9.72"
"예쁘니까괜찮아","전학생 영희가 온다!","9.87"
"새벽에듣는만화","새벽감성 노래만화","9.87"
"화요일에죽는남자","화요일에 죽는 남자","9.58"
"성검의홀리소드","성검에 얽힌 모험이야기.","9.79"
"짐승뎐","연재중지","9.87"
"안녕하세요간호사입니다","나는 남자간호사다","9.84"
"떡볶이가게아가씨","떡볶이 가게 사장님 희란이 이야기","8.66"
"트윙클","내여친은 5살 아역스타","9.52"
"작심삼일운동툰","넓고 얕은 그녀의 운동기","9.78"
"코르보(Corvo)","먹거나 먹히거나.","9.86"
"편집자","누군가 당신을 훔쳐보고 있다","9.60"
"아빠내일은뭐하고놀까?","조금은 특별한 아버지와 아들의 이야기","9.80"
"신혼의맛","갑질하는 아내 VS 을질하는 남편, 평생 신혼처럼 살기로 작정하다!! 과연?!","9.00"
"동아리방202호","개성 넘치는 7명의 동아리이야기(자유연재)","9.87"
"사이트인킬러","잔혹 판타지","9.86"
"레드헤링","슬럼가에서 사는 사람들","9.66"
"연애고자모하나","망한 연애들 이야기","9.85"
"한국인이다","한국인이다","9.80"
"올빼미집","안녕하세요 올빼미입니다. 언제나처럼 카툰으로 찾아뵙겠습니다.","9.09"
"오늘의퇴마","오늘의 퇴마","9.87"
"환상동화모음집","어른을 위한 동화","9.65"
"4번째세계","만 이천년 전의 사랑이야기","9.59"
"마당개의인생","개와 소년의 우정과 모험","9.73"
"빗자루도깨비태비","도깨비 이야기","9.87"
"똥두","사춘기 소녀의 일상","9.72"
"병원에서온그대","소아청소년과 전공의와 연애하듯 살아가는 일상툰","9.74"
"잭(J.a.c.k)","돌아왔습니다!","9.21"
"열정호구","사회초년생 수난기","9.87"
"솔로인커플","4x4컷 황당로맨스","9.86"
"플라즈마걸스","우주경찰 소녀들","9.84"
"에스프레소케이크","“나는 그날, 차민재를 만난 뒤 끊었던 담배를 다시 피우기 시작했다.”","9.86"
"그중에나는없었다","그 아이의 시선에는 내가 있을까?","9.87"
"렝드","판타지 드라마","9.85"
"청춘의모퉁이","서툰 어른, 30대. 청춘의 모퉁이에 서 있는 그들의 이야기 (월,목 연재)","9.85"
"오늘도핸드메이드!","딱히 쓸모없지만, 매일 해도 좋으니까","9.86"
"말랑말랑인생","말랑말랑한 인생이야기.","9.85"
"막순이","막순의 애틋한 첫사랑","9.85"
"몽상가죽이기","악몽을 설계하는 소년","9.57"
"고양이마법학교","cats magic school","9.79"
"그어느날,우리는서로를바라보았다","어느 우리","9.64"
"볼빨간씨의하루","소소한 일상","9.34"
"마지막휴가","군대만화(실화)","9.62"
"너에게말하지못한얘기","몽환판타지.","9.83"
"맘스다이어리","쌩 초짜 엄마 아빠의 육아일기","9.78"
"꼬매","꼬매의 일상이야기","9.75"
"달의기억","판타지/ 빛 속에 감추어진 잃어버린 이야기.","9.79"
"고양이프린스","이유없이 왕따 당하는 소녀의 특별한 냥줍 사건","9.79"
"지금은37.2도","사랑을 만드는 온도 37.2도. 내 온도를 만드는건 누구?","9.75"
"꼬마마법사박광태","배틀코믹스에서 뵈요!","9.75"
"구사일생","어느날, 난 죽었다.","9.71"
"아더스(others)","귀신들의 사는 이야기","9.78"
"스프린터","단편만화 모음집","9.87"
"결혼해줘","신혼생활","9.83"
"완전범죄","이제부터 나는 범죄자다.","9.69"
"죽은자들의도시에서","좀비웹툰","9.73"
"끝난게아니다(청춘은야구&사랑)","청춘=야구&사랑","9.65"
"소소캣다이어리","깜찍한 고양이들의 소소한 일상과 사색","9.75"
"지금은가난중","빈곤한 우리네 청춘","9.86"
"디노와브리","마누라가 직장상사","9.64"
"너와나의90일","흔하지만 흔하지않았던 너와 나의 90일","9.85"
"허니허니","리얼 실시간 임신출산 웹툰!!","9.86"
"클라푸티듀스","미소녀 디저트 만화","9.84"
"산들바람","10,20,30일 나와요!","9.83"
"차가움에게은총을","괜찮은 걸까?","9.83"
"일상을지켜라","좀 특이한 사람들의 일상","9.88"
"라라파루자","격툰","9.80"
"청춘금지","일상툰","9.74"
"초상화","명화 속 소녀와 화가","9.86"
"촉수괴물M","육아 판타지","9.87"
"발자국이녹기전에","시대물 로맨스","9.87"
"엥앙일기","엥앙그림일기","9.86"
"환생게임","환생서바이벌 배틀","9.48"
"내신랑은구미호","구미호가 나오는 만화","9.48"
"LiveLiveDead","본격 좀비물을 가장한 허세쩌는 만화","9.47"
"폭풍의짱빨라","열혈 질주 만화","8.84"
"교실공략기","초등교사 오토리","9.85"
"낭만은원래돈이없어야하는거래","맑은 수채화로 그려낸 감성 가득 유럽여행기.","9.85"
"누군가의이야기","어쩌면 당신의","9.87"
"우주에서제일못생긴설정이지만,그래도연애할수있을거같아","이 것은.. 순정만화다. 우젤못.","9.85"
"소녀의마음으로","영혼이 뒤바뀜","9.85"
"지켜주지못해서미안해","성장기 추억","9.86"
"귀각시","나름, 로맨스","9.85"
"슬립워커","몽유병에 관한 이야기","9.84"
"성장호르몬","-","9.81"
"기프트!","판타지","9.87"
"마녀어머니와좀비아들","특별한 모자의 이야기","9.85"
"더키친부오노","여대 앞 파스타집에서 펼쳐지는 일상&로맨스!","9.74"
"UNDERUPRISE","지하세계에 살게 된 인류, 그 안에서 벌어지는 한 남매의 치열한 생존기.","9.81"
"우리부부는개발개발해","일상&결혼생활툰","9.85"
"백풍의신령가무","백개의 바람을 다루는 신령","9.47"
"곰신남","여군을 아내로 둔 본격 주말부부 이야기","9.87"
"엔드와세이브",".","9.62"
"연애싫어","정식연재","9.86"
"달과바다와관찰자","근미래 여행 모험 SF","9.87"
"네가머무는자리","씨앗이태어날때까지","9.83"
"다프트기어","안드로이드 판타지","9.70"
"야귀록(夜鬼綠)","특별한 능력을 가진 귀사자 vs 야귀","9.85"
"로즈관찰일기","로즈관찰일기","9.79"
"완벽한멍청이들","상태 좋은 유전자들의 상태 안 좋은 이야기","9.75"
"[BL]Fools","캠퍼스 로맨스","9.80"
"이클립스","이세계 판타지","9.87"
"차원이다른만화","그는 뭔가 다르다.","9.85"
"금수저","부모를 바꿔 금수저가 된다! 금요연재","9.85"
"천상열차분야지도","옥황상제와 별자리","9.87"
"송사리레볼루션!","동아리 <혁명>","9.85"
"아무말이나해(보)SHOW","<아무 말이나 해(보) SHOW> 에서 들려드리는 사람 사는 이야기","9.85"
"딩가딩서콩","서콩의 일상","9.85"
"넘버그레이","원치 않는 힘을 가진 아이들의 이야기.","9.86"
"2015범죄스릴러에스","과거에 있었던 연쇄살인사건.. 막아야만한다.","9.74"
"fictionornonfiction","변태같고 퀴퀴한일기","9.85"
"대학일기","재수하고 대학입학","9.90"
"지켜라!밥그릇","밥그릇 지킵니다","9.85"
"FreeOrUNfree","우연일까 운명일까","9.80"
"저편의그림자","후련한 총격액션,  남자는 쏘는거다.","9.79"
"에르나크","눈 떠 보니 게임 속?!","9.85"
"갱스터","암흑가, 마피아, 보스, 그러나 코믹.","9.49"
"음남미녀","음대생과 미대생의 이야기","9.87"
"여고남","매 주 금요일 업뎃","9.54"
"마왕이상병신","정직한 제목","9.87"
"묵색임금","판타지/화요일 연재!","9.85"
"먼지소녀","불운한 소녀와 불운을 보는 소년의 이야기.","8.88"
"인생팔이청년","인생팔이","9.85"
"지구의태엽","범죄물, 두뇌물","9.85"
"불멸의드래곤","전설이 언데드로 부활하다","9.50"
"판데모니움","악마의 지옥탈출","9.59"
"GO!신나고","꼬꼬마 고독한의 농구를 통한 성장 스토리","9.58"
"살랑이는하루","봄바랑처럼 살랑이는 일상툰","9.75"
"당신은왼손을모른다","미스터리&감성","9.87"
"하늘과하늘의순정","하늘이의 순정만화 이야기","9.82"
"리브하이","용림고 학생들의 평범할 것 없는 하루.(자유연재)","9.58"
