shopname,addr,telephone,latitude,longitude
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),02-568-3762,37.613433,127.077484
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),02-3442-3672,37.613433,127.077484
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),02-568-3668,37.613433,127.077484
대치대원빌딩R,서울특별시 강남구 남부순환로 2947 (대치동),02-568-3704,37.613433,127.077484
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),02-568-3648,37.613433,127.077484
압구정R,서울특별시 강남구 언주로 861 (신사동),02-541-3622,37.613433,127.077484
수서역R,서울특별시 강남구 광평로 281 (수서동),02-6181-3688,37.613433,127.077484
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),02-571-3604,37.613433,127.077484
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),02-2051-3562,37.613433,127.077484
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),02-539-3564,37.613433,127.077484
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),02-557-3484,37.613433,127.077484
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동),02-6002-3467,37.613433,127.077484
강남구청정문,서울특별시 강남구 학동로 419 (청담동),02-514-3397,37.613433,127.077484
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),02-565-3496,37.613433,127.077484
강남R,서울특별시 강남구 강남대로 390 (역삼동),02-561-3478,37.613433,127.077484
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),02-554-3315,37.613433,127.077484
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),02-3443-3371,37.613433,127.077484
압구정,서울특별시 강남구 압구정로30길 17 (신사동),02-541-3306,37.613433,127.077484
신사가로수,서울특별시 강남구 압구정로12길 32 (신사동),02-3446-3356,37.613433,127.077484
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),02-514-3364,37.613433,127.077484
강남우성,서울특별시 강남구 강남대로 328 (역삼동),02-565-3347,37.613433,127.077484
학동사거리,서울특별시 강남구 도산대로 328 (논현동) HS빌딩,02-758-8971,37.613433,127.077484
대치사거리,서울특별시 강남구 삼성로 402 (대치동),02-561-3287,37.613433,127.077484
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,02-554-3235,37.613433,127.077484
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",02-758-8896,37.613433,127.077484
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,02-758-8848,37.613433,127.077484
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),02-758-8809,37.613433,127.077484
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,02-758-8798,37.613433,127.077484
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,02-758-8726,37.613433,127.077484
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",02-758-8683,37.613433,127.077484
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),02-758-8739,37.613433,127.077484
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) 코엑스,02-758-8733,37.613433,127.077484
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",02-758-8661,37.613433,127.077484
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",02-758-8626,37.613433,127.077484
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",02-758-8631,37.613433,127.077484
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",02-758-8624,37.613433,127.077484
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",02-758-8659,37.613433,127.077484
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),02-758-8635,37.613433,127.077484
삼성교,"서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)",02-758-8592,37.613433,127.077484
학동역,서울특별시 강남구 논현로 704 (논현동),02-758-8101,37.613433,127.077484
대치,서울특별시 강남구 도곡로 511 (대치동),02-758-8063,37.613433,127.077484
기술센터,"서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)",02-6009-3410,37.613433,127.077484
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",02-2191-1219,37.613433,127.077484
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",02-758-8038,37.613433,127.077484
선릉세화빌딩,"서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)",02-758-8028,37.613433,127.077484
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",02-758-8013,37.613433,127.077484
압구정로,서울특별시 강남구 압구정로42길 32 (신사동),02-758-8231,37.613433,127.077484
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),02-758-8247,37.613433,127.077484
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",02-758-8116,37.613433,127.077484
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",02-758-8119,37.613433,127.077484
대치역,"서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)",02-758-8120,37.613433,127.077484
포이,서울특별시 강남구 논현로 88 (개포동),02-758-8122,37.613433,127.077484
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),02-758-8158,37.613433,127.077484
학여울역,서울특별시 강남구 영동대로 215 (대치동),02-758-8151,37.613433,127.077484
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,02-758-8970,37.613433,127.077484
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),02-758-8278,37.613433,127.077484
GS타워,서울특별시 강남구 논현로 508 (역삼동),02-758-8129,37.613433,127.077484
압구정미소,서울특별시 강남구 논현로 841 (신사동),02-758-8109,37.613433,127.077484
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",02-758-8108,37.613433,127.077484
수서,서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층,02-758-8165,37.613433,127.077484
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),02-758-8478,37.613433,127.077484
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),02-758-8463,37.613433,127.077484
차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)",02-758-8444,37.613433,127.077484
청담공원,서울특별시 강남구 학동로 506 (삼성동),02-758-8394,37.613433,127.077484
신압구정,서울특별시 강남구 언주로174길 29 (신사동),02-758-8398,37.613433,127.077484
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",02-758-8317,37.613433,127.077484
뱅뱅사거리,서울특별시 강남구 강남대로 282 (도곡동),02-758-8325,37.613433,127.077484
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",02-758-8492,37.613433,127.077484
역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",02-758-8314,37.613433,127.077484
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",02-758-8345,37.613433,127.077484
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),02-758-8321,37.613433,127.077484
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",02-758-8331,37.613433,127.077484
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",02-758-8552,37.613433,127.077484
삼성역,서울특별시 강남구 테헤란로103길 9 (삼성동),02-758-8585,37.613433,127.077484
논현힐탑,서울특별시 강남구 논현로 648 (논현동),02-758-8426,37.613433,127.077484
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",02-758-8429,37.613433,127.077484
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),02-980-3341,37.613433,127.077484
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),02-758-8944,37.613433,127.077484
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),02-758-8859,37.613433,127.077484
수유역,서울특별시 강북구 도봉로 342 (번동),02-758-8104,37.613433,127.077484
미아역,서울특별시 강북구 도봉로 196 (미아동),02-758-8500,37.613433,127.077484
우장산역,서울특별시 강서구 강서로 267 (내발산동),02-2664-2624,37.613433,127.077484
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),02-2659-3585,37.613433,127.077484
방화DT,서울특별시 강서구 방화대로 375 (방화동),02-2664-3480,37.613433,127.077484
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),02-3662-3504,37.613433,127.077484
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",02-2659-3404,37.613433,127.077484
가양역,서울특별시 강서구 양천로 476 (등촌동),02-3661-3418,37.613433,127.077484
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),02-2648-3257,37.613433,127.077484
양천향교역,서울특별시 강서구 강서로 463 (마곡동),02-2658-3312,37.613433,127.077484
화곡동,서울특별시 강서구 화곡로 142(화곡동),02-758-8881,37.613433,127.077484
등촌,서울특별시 강서구 공항대로 329 (등촌동),02-758-8883,37.613433,127.077484
염창역,서울특별시 강서구 공항대로 627 (염창동),02-758-8694,37.613433,127.077484
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,02-758-8720,37.613433,127.077484
가양이마트,"서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동)",02-758-8070,37.613433,127.077484
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),02-758-8538,37.613433,127.077484
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),02-883-3725,37.613433,127.077484
신림DT,서울특별시 관악구 남부순환로 1419 (신림동),02-851-3283,37.613433,127.077484
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),02-876-3252,37.613433,127.077484
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),02-872-3249,37.613433,127.077484
사당,서울특별시 관악구 남부순환로 2082-25,02-758-8721,37.613433,127.077484
보라매대교,"서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)",02-758-8629,37.613433,127.077484
신림사거리,서울특별시 관악구 남부순환로 1619 (신림동),02-758-8645,37.613433,127.077484
신림,서울특별시 관악구 신림로 355-1 (신림동),02-758-8290,37.613433,127.077484
신림역포도몰,"서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)",02-758-8286,37.613433,127.077484
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),02-758-8460,37.613433,127.077484
어린이대공원역,서울시 광진구 능동로243,02-464-3656,37.613433,127.077484
아차산역,서울시 광진구 천호대로 676,02-455-3637,37.613433,127.077484
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),02-453-3514,37.613433,127.077484
구의DT,서울특별시 광진구 광나루로 519 (구의동),02-758-8901,37.613433,127.077484
자양사거리,서울특별시 광진구 아차산로 355,02-758-8865,37.613433,127.077484
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,02-758-8748,37.613433,127.077484
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",02-758-8648,37.613433,127.077484
건대스타시티,서울특별시 광진구 아차산로 262 (자양동),02-758-8197,37.613433,127.077484
자양,서울특별시 광진구 능동로 50 (자양동),02-758-8159,37.613433,127.077484
강변역,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버,02-758-8759,37.613433,127.077484
건대입구,서울특별시 광진구 능동로 107 (화양동),02-758-8305,37.613433,127.077484
구의역,서울특별시 광진구 아차산로 373 (구의동),02-758-8476,37.613433,127.077484
광장,서울특별시 광진구 아차산로 537-17 (광장동),02-758-8508,37.613433,127.077484
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,02-758-8519,37.613433,127.077484
가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동),02-6244-8046,37.613433,127.077484
독산사거리,서울특별시 금천구 시흥대로 426 (독산동),02-838-3444,37.613433,127.077484
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),02-805-3360,37.613433,127.077484
가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동),02-2083-8302,37.613433,127.077484
금천독산,서울특별시 금천구 두산로 70 (독산동),02-758-8765,37.613433,127.077484
가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동),02-758-8147,37.613433,127.077484
W-Mall,서울특별시 금천구 디지털로 188 (가산동),02-758-8196,37.613433,127.077484
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,02-758-8542,37.613433,127.077484
가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),02-758-8371,37.613433,127.077484
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",02-758-8346,37.613433,127.077484
월계트레이더스,서울시 노원구 마들로3길 15,02-971-3748,37.613433,127.077484
상계초교사거리,서울 노원구 노원로 449,02-931-3660,37.613433,127.077484
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),02-971-3457,37.613433,127.077484
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",02-934-3438,37.613433,127.077484
공릉역,서울특별시 노원구 동일로 1081 (공릉동),02-972-3380,37.613433,127.077484
서울여대,서울특별시 노원구 화랑로 621 (공릉동),02-758-8647,37.613433,127.077484
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",02-758-8238,37.613433,127.077484
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",02-758-8523,37.613433,127.077484
광운대,서울특별시 노원구 석계로 104 (월계동),02-758-8485,37.613433,127.077484
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",02-758-8567,37.613433,127.077484
노원역,"서울특별시 노원구 동일로 1413, 1층 (상계동)",02-758-8584,37.613433,127.077484
월계이마트,서울특별시 노원구 마들로3길 15 (월계동),02-758-8573,37.613433,127.077484
창동이마트,서울특별시 도봉구 노해로65길 4 (창동),02-903-3791,37.613433,127.077484
쌍문역,서울특별시 도봉구 도봉로 480 (창동),02-758-8691,37.613433,127.077484
남성역,서울특별시 동작구 사당로 219 (사당동),02-533-3783,37.613433,127.077484
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",02-832-3693,37.613433,127.077484
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이),02-588-3657,37.613433,127.077484
노량진역,서울특별시 동작구 노량진로 134 (노량진동),02-816-3581,37.613433,127.077484
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동),02-813-3501,37.613433,127.077484
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동),02-812-3250,37.613433,127.077484
숭실대입구역,서울특별시 동작구 상도로 354 (상도동),02-815-3205,37.613433,127.077484
숭실대,서울특별시 동작구 사당로 4 (상도동),02-758-8153,37.613433,127.077484
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",02-758-8311,37.613433,127.077484
상암YTN,서울특별시 마포구 상암산로 76 (상암동),02-304-3752,37.613433,127.077484
마포용강동,서울특별시 마포구 토정로 295 (용강동),02-3275-3655,37.613433,127.077484
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동),02-325-3531,37.613433,127.077484
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동),02-392-3555,37.613433,127.077484
공덕,서울특별시 마포구 마포대로 130 (공덕동),02-716-3426,37.613433,127.077484
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",02-324-3587,37.613433,127.077484
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동),02-332-3516,37.613433,127.077484
마포염리,서울특별시 마포구 독막로 311 (염리동),02-3272-3331,37.613433,127.077484
서강광흥창역,서울특별시 마포구 서강로 69 (창전동),02-325-3351,37.613433,127.077484
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",02-323-3214,37.613433,127.077484
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),02-3272-3335,37.613433,127.077484
서교동사거리,서울특별시 마포구 양화로 105 (서교동),02-326-5218,37.613433,127.077484
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),02-373-3225,37.613433,127.077484
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),02-334-3275,37.613433,127.077484
상암디지털큐브,서울특별시 마포구 상암산로 34,02-758-8890,37.613433,127.077484
상수역,서울특별시 마포구 독막로 88 (상수동),02-758-8925,37.613433,127.077484
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,02-758-8933,37.613433,127.077484
서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,02-758-8856,37.613433,127.077484
서강대,서울특별시 마포구 백범로 23 (신수동),02-758-8783,37.613433,127.077484
상암MBC,서울특별시 마포구 성암로 267 (상암동),02-758-8787,37.613433,127.077484
홍대공원,서울특별시 마포구 와우산로 83 (서교동),02-758-8786,37.613433,127.077484
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",02-758-8672,37.613433,127.077484
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",02-758-8637,37.613433,127.077484
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",02-758-8272,37.613433,127.077484
홍대갤러리,"서울특별시 마포구 와우산로 101, 정명빌딩 (서교동)",02-758-8293,37.613433,127.077484
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",02-6393-6219,37.613433,127.077484
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",02-758-8265,37.613433,127.077484
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,02-758-8217,37.613433,127.077484
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),02-758-8402,37.613433,127.077484
망원역,서울특별시 마포구 월드컵로 74 (서교동),02-758-8365,37.613433,127.077484
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,02-758-8467,37.613433,127.077484
합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",02-758-8534,37.613433,127.077484
가재울뉴타운,서울 서대문구 가재울미래로 2,02-304-3724,37.613433,127.077484
신촌역,서울특별시 서대문구 신촌로 73 (창천동),02-336-3529,37.613433,127.077484
연희동,서울특별시 서대문구 연희로 97 (연희동),02-326-3372,37.613433,127.077484
아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)",02-312-3430,37.613433,127.077484
홍제역,서울특별시 서대문구 통일로 451 (홍제동),02-396-3383,37.613433,127.077484
연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,02-758-8977,37.613433,127.077484
명지대,서울특별시 서대문구 거북골로 53 (남가좌동),02-758-8908,37.613433,127.077484
연희DT,서울특별시 서대문구 연희로 144 (연희동),02-758-8893,37.613433,127.077484
동교삼거리,서울특별시 서대문구 신촌로 1 (창천동),02-758-8688,37.613433,127.077484
경기대,서울특별시 서대문구 충정로 53 (충정로2가),02-758-8163,37.613433,127.077484
신촌대로,서울특별시 서대문구 신촌로 121 (창천동),02-758-8090,37.613433,127.077484
신촌,서울특별시 서대문구 연세로 10-1 (창천동),02-758-8035,37.613433,127.077484
이대R,서울특별시 서대문구 이화여대길 34 (대현동),02-758-8001,37.613433,127.077484
연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)",02-758-8244,37.613433,127.077484
이대ECC,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,02-758-8240,37.613433,127.077484
연대,서울특별시 서대문구 연세로 35 (창천동),02-758-8439,37.613433,127.077484
신촌아트레온,서울특별시 서대문구 신촌로 129 (창천동),02-758-8401,37.613433,127.077484
충정로역,서울특별시 서대문구 충정로 23,02-758-8479,37.613433,127.077484
연대동문,서울특별시 서대문구 성산로 565 (대신동),02-758-8450,37.613433,127.077484
신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)",02-365-8330,37.613433,127.077484
충정타워,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)",02-758-8333,37.613433,127.077484
강남교보타워R,서울특별시 서초구 강남대로 465 (서초동),02-534-3604,37.613433,127.077484
방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동),02-3473-3576,37.613433,127.077484
센트럴F1,서울특별시 서초구 신반포로 176 (반포동),02-537-3598,37.613433,127.077484
서초역이화빌딩,서울특별시 서초구 반포대로21길 3 (서초동),02-522-3533,37.613433,127.077484
서초구청,서울특별시 서초구 남부순환로 2557 (서초동),02-3471-3545,37.613433,127.077484
서초우성사거리,서울특별시 서초구 강남대로 343 (서초동),02-3486-3536,37.613433,127.077484
이수역사거리,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)",02-3476-3472,37.613433,127.077484
강남대로신사,서울특별시 서초구 강남대로 595 (잠원동),02-516-3402,37.613433,127.077484
서울고속터미널,서울특별시 서초구 신반포로 194 (반포동),02-592-3432,37.613433,127.077484
강남대로논현R,서울특별시 서초구 강남대로85길 5 (반포동),02-515-3419,37.613433,127.077484
방배,서울특별시 서초구 방배로 211,02-536-3204,37.613433,127.077484
방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동),02-536-3206,37.613433,127.077484
서초법원,서울특별시 서초구 서초대로 274 (서초동),02-523-3294,37.613433,127.077484
청계산입구역,서울특별시 서초구 청계산로 203 (신원동),02-577-3253,37.613433,127.077484
사당로데오,서울특별시 서초구 방배천로 5-4(방배동),02-758-8953,37.613433,127.077484
파미에파크R,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY,02-758-8790,37.613433,127.077484
교대역,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩,02-758-8757,37.613433,127.077484
양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩,02-758-8816,37.613433,127.077484
논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층,02-758-8819,37.613433,127.077484
이수역,서울특별시 서초구 동작대로 112 (방배동),02-758-8794,37.613433,127.077484
내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩,02-758-8740,37.613433,127.077484
서초파라곤,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤,02-758-8716,37.613433,127.077484
서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩,02-758-8738,37.613433,127.077484
서초중앙로,서울특별시 서초구 서초중앙로 225,02-758-8715,37.613433,127.077484
센트럴시티,서울특별시 서초구 신반포로 176 (반포동),02-758-8656,37.613433,127.077484
강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동),02-758-8213,37.613433,127.077484
방배역,서울특별시 서초구 방배로 84 (방배동),02-758-8086,37.613433,127.077484
반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가,02-758-8141,37.613433,127.077484
남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)",02-758-8085,37.613433,127.077484
뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽,02-758-8032,37.613433,127.077484
강남2,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)",02-758-8081,37.613433,127.077484
교대,서울특별시 서초구 서초중앙로 118 (서초동),02-758-8073,37.613433,127.077484
하이브랜드,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)",02-2155-4117,37.613433,127.077484
신논현역,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩,02-758-8756,37.613433,127.077484
영동2교,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)",02-758-8291,37.613433,127.077484
남부터미널2,서울특별시 서초구 효령로 274 (서초동),02-758-8229,37.613433,127.077484
서래마을입구,서울특별시 서초구 서래로 48 (반포동),02-3482-8257,37.613433,127.077484
몬테소리,서울특별시 서초구 강남대로 399 (서초동),02-758-8225,37.613433,127.077484
서초역,서울특별시 서초구 반포대로 118 (서초동),02-758-8289,37.613433,127.077484
예술의전당,"서울특별시 서초구 남부순환로323길 1, 1층 (서초동)",02-758-8313,37.613433,127.077484
교대법원,서울특별시 서초구 서초중앙로 164 (서초동),02-758-8400,37.613433,127.077484
강남GT타워,"서울특별시 서초구 서초대로 411, GT타워 (서초동)",02-758-8477,37.613433,127.077484
서초동,"서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)",02-758-8459,37.613433,127.077484
서울교대,"서울특별시 서초구 서초중앙로 64, 1층 (서초동)",02-758-8332,37.613433,127.077484
강남에비뉴,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)",02-758-8587,37.613433,127.077484
